,,,Step 42 [OrionMarketingUpdateSource] OK: took 465 ms,OrionMarketingUpdateSource,OK
15,,HTTP/1.1 403 You are not authorized to use this method,"Step 43 [enrollGradesTrnsfr] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",enrollGradesTrnsfr,FAILED
,,,Step 44 [OrionProgramRollUpMapping] OK: took 102 ms,OrionProgramRollUpMapping,OK
,,,Step 45 [OrionProgramRollUpUpdateMapping] OK: took 42 ms,OrionProgramRollUpUpdateMapping,OK
,,,Step 46 [OrionMarketingAddPromotions] OK: took 258 ms,OrionMarketingAddPromotions,OK
,,,Step 47 [OrionMarketingUpdatePromotions] OK: took 439 ms,OrionMarketingUpdatePromotions,OK
,,,Step 48 [ClassAttendanceforEnrollmentIds] OK: took 284 ms,ClassAttendanceforEnrollmentIds,OK
16,, HTTP/1.1 417 Please provide a valid Token,"Step 49 [StudentUnreadEmailsCount] FAILED: took 63 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",StudentUnreadEmailsCount,FAILED
,,,Step 50 [CampusCodeTermsCampusVue] OK: took 569 ms,CampusCodeTermsCampusVue,OK
17,,HTTP/1.1 403 You are not authorized to use this method,"Step 51 [GetDegreebyCampusAndProgramIds] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetDegreebyCampusAndProgramIds,FAILED
,,,Step 52 [CreateEnrollment] OK: took 3004 ms,CreateEnrollment,OK
18,,  HTTP/1.1 417 Please provide a valid Token,"Step 53 [StudentDegreePlanbyEnrollmentIds] FAILED: took 27 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",StudentDegreePlanbyEnrollmentIds,FAILED
19,,  HTTP/1.1 417 Please provide a valid Token,"Step 54 [BluePrintDegreePlanbyEnrollmentIds] FAILED: took 27 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",BluePrintDegreePlanbyEnrollmentIds,FAILED
20,,  HTTP/1.1 417 Please provide a valid Token,"Step 55 [StudentTitle4RegistrationRequirement] FAILED: took 42 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",StudentTitle4RegistrationRequirement,FAILED
21,,  HTTP/1.1 417 Please provide a valid Token,"Step 56 [ProgramEnrollmentInfoGivenEnrollmentId] FAILED: took 28 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",ProgramEnrollmentInfoGivenEnrollmentId,FAILED
22,,  HTTP/1.1 417 Please provide a valid Token,"Step 57 [ProgramStuEnrollmentInfoGivenEnrollmentId] FAILED: took 37 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",ProgramStuEnrollmentInfoGivenEnrollmentId,FAILED
23,,  HTTP/1.1 417 Please provide a valid Token,"Step 58 [ElectivePoolCourseforElectivePoolIds] FAILED: took 27 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",ElectivePoolCourseforElectivePoolIds,FAILED
24,,  HTTP/1.1 417 Please provide a valid Token,"Step 59 [CreateCDL] FAILED: took 32 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",CreateCDL,FAILED
